?tiquettes de lignes;Nombre de ÑŞã ÇáäÓÎÉ
Mehenna Hamadouche;7
chihab ed;7
2004;7
Alger;7
(vide);7
327.09/34;7
Affaires et documents de droit international .;1
Slim Laghmani;1
Centre de publication universitaire;1
(vide);1
Tunis;1
2005;1
341/38;1
Affrontements culturels dans l'Algérie coloniale : écoles, médecines, religion, 1830 - 1880;15
Yvonne turin;15
Ed Houma;15
2004;15
Alger;15
(vide);15
327.09/126;15
afrique l'ère des turbilances;13
salah mouhoubi;13
casbah editions;13
(vide);13
Alger;13
1999;13
320/04;13
Alger : Trente-deux siècles d'histoire .;1
Hocine Mezali;1
Synergie;1
2003;1
(vide);1
02 Ed.;1
327.09/154;1
Algerie bresil coree du sud : trois expériences de développement;2
abdelouahab rezig;2
office des publications universitaires;2
2006;2
Alger;2
(vide);2
320/66;2
Algérie histoire contemporaine 1830-1988;6
Benjamin Stora;6
Casbah ed;6
2004;6
Alger;6
(vide);6
327.09/18;6
Algerie la modernisation maitrisée;8
Abdellatif Benachenhou;8
(vide);8
(vide);8
(vide);8
(vide);8
320/34;8
Algerie Mouvement ouvrier et question nationale: 1919 - 1954;23
Nora Benallegue -chaouia;23
opu;23
2005;23
Alger;23
(vide);23
327.09/39;23
algerie nouvelle 2;9
ben mamammar belkacem - hocine;9
(vide);9
2006;9
(vide);9
(vide);9
327.09/68;9
Algerie nouvelle. : redéploiement de l'etat et régionalisation de l'algerie;18
Ben Mammar Belkacem- houcine;18
Dar El Adib;18
2003;18
(vide);18
(vide);18
320/03;18
Analyse économique du droit .;2
Ejan Mackaay;2
Dalloz;2
2008;2
Paris;2
02 Ed .;2
330/37;2
Angoisses géopolitiques Le Moyen-Orient .;2
andreé abeels;2
homes international;2
2003;2
bruxelles;2
(vide);2
327.09/159;2
Anna Droit 2005 droit administratif : 2 année de licence ( système LMD) ou de DEUG de droit .;32
Marie-Christine Rouault;32
Gualino éditeur;32
2004;32
Paris;32
(vide);32
342/01;32
Annales corrigées . : Droit constitutionnel et institutions politiques : Epreuves du DEUG de droit 1 année .;14
Dominique Breillat;14
Gualino éditeur;14
2002;14
Paris;14
(vide);14
342/05;14
Annales des obligations . : Méthodologie et sujets corrigés .;2
Annick Batteur;2
Dalloz;2
2010;2
Paris;2
(vide);2
347/57;2
Annales droit constitutionnel 2011 : Méthodologie et sujets corrigés .;2
Michel Verpeaux;2
Dalloz;2
2010;2
Paris;2
(vide);2
342/41;2
Annales introduction au droit et droit civil. : Méthodologie et sujets corrigés .;2
Thierry Garé;2
Dalloz;2
2011;2
Paris;2
(vide);2
347/56;2
Anthologie des droits de l'homme .;3
Walter Laqueur;3
nouveaux horizons;3
1989;3
(vide);3
(vide);3
341.48/12;3
Anthrologie juridique.;1
Jacques Vanderlinden;1
Dalloz;1
1996;1
Paris;1
(vide);1
340/44;1
Apprendre à philosopher la philosophie politique .;5
Crystal cordell paris;5
Ellipses;5
2013;5
Paris;5
(vide);5
320/69;5
Approches américaines du droit international entre unité et diversité.;3
Lucie Delabie;3
Editions A . Pedone;3
2011;3
Paris;3
(vide);3
341/55;3
Après l'état-nation . : une nouvelle constellation politique .;5
Jurgen Habermas;5
Librairie Arthème Fayard;5
2000;5
(vide);5
(vide);5
327/41;5
Atlas de la mondialisation : Comprendre l'espace mondial contemporain;10
Marie-Françoise Durand;10
Sciencecespo;10
(vide);10
(vide);10
05Ed;10
327.09/84;1
84/327.09;9
Atlas des 25 d' états de l'union européenne cartes . : statistiques et drapeaux;1
Patrick Mérienne;1
Editions Ouest-France;1
2005;1
France;1
(vide);1
320.3/04;1
atlas des crises et des conflits;10
Pascal Boniface;10
Armond colin;10
2009;10
Paris;10
(vide);10
327.09/118;10
Atlas du monde global;10
Pascal Boniface;10
Armond colin;10
2010;10
Paris;10
(vide);10
327.09/83;1
83/327.09;9
Atlas Géopolitique des espaces maritimes : frontières,énèrgie,transports,piraterie,pèche et environnememt;8
Didier Ortolland;8
Technip ed.;8
2010;8
Paris;8
2ed.;8
327.09/136;8
AU NON DE LA LOI AU NOM DE LA ISSABA;13
HADJRI,Fouad;13
kawkab el oloum;13
2019;13
algerie;13
(vide);13
340/59FH;13
Au risque du chaos : leçons politique et stratégiques de la guerre d'irak;5
Joseph Henrotin;5
Armond colin;5
2004;5
Paris;5
(vide);5
327.09/61;5
aux origines de la guerre d'algerie 1940 - 1945;2
annie rey - goldzeiguer;2
casbah editions;2
2002;2
Alger;2
(vide);2
327.09/48;2
Avez-Vous une bonne mémoire?. : Tests , Conseils et exercices pour s'améliorer .;1
Sandrine Coussinoux;1
Flammarion;1
2004;1
(vide);1
(vide);1
000/25;1
Barak Obama : De la race en Amérique;10
François Clemenceau;10
Bernard Grasset;10
2008;10
Paris;10
(vide);10
327.09/110;10
Bouteflika le président et son bilan : le defi;4
Chaib khaled;4
Les Edition El Hikma;4
2004;4
Alger;4
(vide);4
327.09/26;4
Bréve histoire du droit aux états-Unis .;3
Lawrence M. Friedman;3
nouveaux horizons;3
2004;3
Paris;3
(vide);3
340/51;3
bridging the cap : alnguage , cultturé , and littérature and iintegrated course;6
bensaou;6
"""The university ofAlger""";6
(vide);6
Alger;6
(vide);6
000/12;6
c'etaient eux les héros;20
Mustapha Benamar;20
ed.houma;20
2009;20
Alger;20
(vide);20
327.09/03;20
chronique de la gouvernance;1
charles léopold;1
(vide);1
(vide);1
(vide);1
(vide);1
330/09;1
Chroniques de la révolution égyptienne.;5
Alaa El Aswany;5
El Aswany;5
2011;5
Egypt;5
(vide);5
327.09/171;5
Civilisation américaine . : Documents constitutionnels .;1
Pierre Lagayette;1
Ellipses;1
1995;1
Paris;1
(vide);1
327.09/169;1
Civilisation britannique . : Documents constitutionnels .;1
Nicole Bensoussan;1
Ellipses;1
1993;1
Paris;1
(vide);1
327.09/170;1
Code algérien des assurance. : Textes d'application , jurisprudence et textes complémentaires .;5
(vide);5
Editions Houma;5
2006;5
Alger;5
(vide);5
368/04;5
Code bancaire algerien : Textes d'application , jurisprudence et textes complémentaires .;3
Mabrouk Hocine;3
Editions Houma;3
2007;3
Alger;3
02 Ed.;3
346.07/62;3
Code boursier algerien . : textes d'application , jurisprudence et textes complémentaires .;5
Mabrouk Hocine;5
Editions Houma;5
2006;5
Alger;5
(vide);5
346.07/100;5
Code de commerce .;9
Mabrouk Hocine;8
Editions Dahlab;8
1999;8
Alger;8
(vide);8
346.07/32;8
Yves Chaput;1
Dalloz;1
2003;1
Paris;1
(vide);1
346.07/88;1
code de Droit international privé français .;3
Julie Bauchy;3
Bruylant;3
2011;3
bruxelles;3
(vide);3
341/48;3
Code de la construction et de l'habitation .;2
(vide);2
Dalloz;2
2002;2
Paris;2
02 Ed.;2
346.07/87;2
Code de la propriété intellectuelle.;1
Michel Vivant;1
LexisNexis;1
2012;1
Paris;1
13 Ed.;1
340/43;1
code de l'aviation civile . : Textes legislatifs et reglementaires en vigueur .;16
rabah touafek;16
dar houma;16
2005;16
Alger;16
(vide);16
347/49;16
Code de l'entrée et du séjour des étrangers et du droit d'asile .;4
Vincent Tchen;4
LexiisNexis;4
08Ed .;4
Paris;4
2012;4
342/35;4
Code de l'environnement . : Législation et réglementation .;2
(vide);2
Les éditions des journaux officiels;2
(vide);2
(vide);2
(vide);2
344/03v02;2
Code de l'environnement . : Parties législative et réglementaire.;2
(vide);2
Les éditions des journaux officiels;2
2010;2
France;2
(vide);2
344/03v1;2
Code de procédure civile .;4
(vide);4
Berti editions;4
2001;2
Alger;2
(vide);2
347/43;2
2002;2
Alger;2
02 Ed.;2
347/44;2
Code de procédure pénale;4
Jean Pradel;4
Dalloz;4
2003;4
Paris;4
04 Ed.;4
345/31PRA;4
Code des assurances.;1
Claude J.Berr;1
Dalloz;1
2002;1
Paris;1
08 Ed .;1
368/03;1
Code des douanes .;7
Daoudi Sélami;4
Berti editions;4
2000;4
Alger;4
(vide);4
346.07/55;4
(vide);3
berti edition;3
2001;3
Alger;3
(vide);3
346.07/41;3
Code des procédures collectives .;1
(vide);1
Dalloz;1
2000;1
Paris;1
(vide);1
347/41;1
Code des sociétés et des marchés financières.;1
Paul Le Cannu;1
Dalloz;1
2002;1
Paris;1
19 Ed .;1
346.07/50;1
Code du travail 2001-2002.;4
(vide);4
berti;4
(vide);4
Alger;4
(vide);4
347/81;4
Code maritime .;3
(vide);3
Berti editions;3
2008;3
Alger;3
(vide);3
346.07/57;3
Code pénal;4
(vide);4
Dalloz;4
2003;4
Paris .;4
(vide);4
345/13DAL;4
Code pénal .;3
Marie-Aude Beernaert;3
Bruylant;3
2011;3
bruxelles;3
13 Ed .;3
345/16BEE;3
Codes de la famille de la nationalité de l'état civil et des droits d'auteurs 2001/2002.;9
(vide);9
Berti editions;9
2000;9
Alger;9
(vide);9
346/04;9
Codes des impots .;2
(vide);2
Berti editions;2
2001;2
Alger;2
(vide);2
346.07/58;2
Codes du foncier et de l'urbanisme.;7
(vide);7
Berti editions;7
2000;7
Alger;7
(vide);7
346.07/52;7
Colonisation . : droit d'inventaire .;1
Claude Liauzu;1
Armand colin;1
2004;1
Paris;1
2004;1
327.09/164;1
colonisation et politique d'assimilation en algerie 1830 - 1962;3
djamel kharchi;3
casbah editions;3
2004;3
Alger;3
(vide);3
327.09/46;3
comme des ombres furtines;1
hamid grine;1
Casbah édition;1
2004;1
Alger;1
(vide);1
000/16;1
Commonwealth .;5
Michael Hardt;5
Gallimard;5
2012;5
(vide);5
(vide);5
327/43;5
communiquer avec la presse écrité et admiovisuelle;1
phillippe bachimann;1
victoires editions;1
2004;1
(vide);1
(vide);1
070/02;1
Compartement politique comparé;2
Daniel -Louis Seiler;2
Economica;2
1985;2
Paris;2
(vide);2
320/63;2
comvergences critiques : introduction à la lecture du littéraire;9
c ristiane achour;9
opu;9
2005;9
Alger;9
(vide);9
000/05;9
confidences de parents . : Une nouvelle approche psychologique pour répondre à toutes vos interrogations .;1
Edwige anier;1
editions robert;1
2002;1
Paris;1
(vide);1
320/30;1
Conflits de voisinage .;2
(vide);2
Interets prives;2
2005;2
Paris;2
(vide);2
345/24INT;2
Conflits et sécurité dans l'espace mer noir:l'union européenne, les riverains et les autres;10
baptiste chatré;10
édition panthéon assas;10
2009;10
Paris;10
(vide);10
327/26;10
Confrontation de la théorie de la formation du droit par degrés . : Avec les idées et les institutions consacrées par le droit positif français relativement à sa formation.;2
Raymond Carré de Malberg;2
Dalloz;2
2007;2
Paris;2
(vide);2
340/40;2
Construire l'etat de droit : françis nyalali et le combat pour l'indépendance de la justice en afrique .;2
Jennifer A . Widner;2
nouveaux horizons;2
2003;2
Paris;2
(vide);2
341/15;2
Contentieux administratif .;3
Dominique turpin;2
Hachette;2
05 Ed .;2
Paris;2
2010;2
342/39;2
Gustave Peiser;1
Dalloz;1
1999;1
Paris;1
11 Ed .;1
342/27;1
Contentieux communautaire .;1
Jean Boulouis;1
Dalloz;1
1997;1
Paris;1
(vide);1
342/44;1
Contentieux constitutionnel français .;1
Guillaume Drago;1
PUF;1
1998;1
Paris;1
02 Ed.;1
342/46;1
Contrats civils et commerciaux .;2
François Collart Dutilleul;2
Dalloz;2
2011;2
Paris;2
09 Ed.;2
346.07/84;2
Contrats d'affaires .;2
François Xavier Testu;2
Dalloz;2
2010;2
Paris;2
(vide);2
347/62;2
Contrats informatiques et électroniques .;2
Philippe Le Tourneau;2
Dalloz;2
2013;2
Paris;2
07 Ed .;2
346.07/65;2
Contrats spéciaux .;4
Pascal Puig;4
Dalloz;4
2011;4
Paris;4
04 Ed .;4
347/78;4
Contribution a une problématique juridique du transfert inverse de technologie .;9
Leila Boussaid;9
O.P.U;9
1990;9
Alger;9
(vide);9
346.07/18;9
Contrôle des risques : Mieux comprendre les fonctions juridiques et de conformité .;3
Jean-Michel Daunizeau;3
RB édxition;3
2011;3
Paris;3
(vide);3
340/55;3
Cotrat type : des marchés publics;2
Mohamed Tayeb Medjahed;2
edition houma;2
2004;2
Alger;2
é3;2
330/20;2
Cours de droit civil suretes et publicite fonciere .;34
Latrou Bachir;34
O.P.U;34
1983;34
Alger;34
(vide);34
347/61;34
Cours de théorie générale de l'état .;20
Nasser Eddine Ghozali;20
O.P.U;20
1983;20
Alger;20
(vide);20
341/08;20
Cours d'histoire du droit musulman et des institutions musulmanes .;18
Hélène Vandevelde;18
O.P.U;18
1983;18
Alger;18
(vide);18
322/06;18
Cours d'initiation au droit de l'organisation mondiale du commerce .;19
Mohamed Tayeb Medjahed;19
Editions Houma;19
2011;19
Alger;19
(vide);19
346.07/71;19
cours droit comparé;1
Yves-Marie Laithier;1
Dalloz;1
(vide);1
Paris;1
(vide);1
340/06;1
critique de l'etat : territoire,autorité et droit, de l'époque médiévale a nos jours;10
saskia sassen;10
demopolis;10
2009;10
Paris;10
(vide);10
320/46;10
critique du droit du travail;10
alain supiot;10
quadrige puf;10
1994;10
Paris;10
e.2;10
347/12;10
Culture et politique .;1
Bertrand Badie;1
Economica;1
1993;1
Paris;1
(vide);1
320/83;1
Cyberdroit : Le droit à l'épreuve de l'internet .;2
Christiane féral-Schuhl;2
Dalloz;2
2010;2
Paris;2
06 Ed .;2
340/38;2
de l'inégalité parmi les sociétés : Essai sur l'homme et l'environnement dans l'histoire .;3
jared diamond;3
édion gallinard;3
2000;3
(vide);3
(vide);3
000/09;3
definitely british, absolutely american. : Manuel de civilisation britanique et américaine .;3
Fabien fichaux;3
Ellipses;3
(vide);3
Paris;3
2001;3
320/14;3
demain, l'algerie: l'état du territoire la reconquete du territoire;4
(vide);4
ministère de l'equipement et de l'aménagement du territoire;4
(vide);4
(vide);4
(vide);4
327.09/76;3
327.09/95;1
démocratie directe;1
yannis papadopoulos;1
yannis papadopoulos;1
1998;1
Paris;1
(vide);1
321/01;1
Démocratie, citoyennenté, éemancipation : marx, lefort, balibar, rancière, rosanvallon, negri;10
antoine artous;10
syllepse;10
2010;10
Paris;10
(vide);10
321/19;10
des noms et des llieu : mémoire d'une algérie oubliée;6
mostefa lacheraf;6
casbah editions;6
1998;6
Alger;6
(vide);6
327.09/45;6
Diagnostic et décisions stratégiques .;5
Tugrul Atamer;5
dunod;5
2003;5
Paris;5
02 Ed .;5
327/47;5
DIAGNOSTIC JURIDIQUE DE L'ACTE MEDICAL;1
HADJRI,Fouad;1
l'office des publications universitaire;1
2014;1
ben aknoun;1
(vide);1
345/33;1
"Dictionnaire de géopolitique: Etats Concepts; Auteurs.";1
Chauprade Aymeric;1
Ellipses;1
1999;1
Paris;1
02 Ed.;1
320.3/02;1
Dictionnaire de la pensée politique .;2
Dominique Colas;2
L'arrousse;2
(vide);2
Paris;2
1997;2
320.3/11;2
Dictionnaire de sciences politiques;2
David Alcaud;2
SIREY;2
2010;2
BELGIQUE;2
2 Ed;2
230.3/14;2
dictionnaire des difficultés de la langue française : gramaire, exemples, usage, orthographe;2
A.V.thomas;2
larousse;2
2011;2
Paris;2
(vide);2
030/09;2
Dictionnaire des relations internationales au 20 siècle.;2
Colette Barbier;2
Armond colin;2
2005;2
Paris;2
Ed02;2
320.3/06;2
Dictionnaire Noblis(Français -Arabe )(Arabe-français) : Manuel fondamental pour l'enseignement plus de 25 000 mots traduction claire et simple .;5
Groupe de recherche;5
Noblis;5
2003;5
ÈíÑæÊ;5
(vide);5
030/07;5
Dictionnaire pratique du droit humanitaire .;1
Françoise Bouchet-Saulnier;1
La découverte;1
2000;1
Paris;1
(vide);1
340.3/10;1
Dictionnaire. : Encyclopédique de l'algerie centre -politique société histoire personnalites lieux -événements.;1
Achour Cherfi;1
ANEP;1
(vide);1
(vide);1
(vide);1
320.3/08;1
Dictionneire de espace politique : Géographie politique & géopolitique;2
Stéphane Rosiére;2
Armond colin;2
2008;2
Paris;2
(vide);2
320.3/15;2
DOCUMENTS CONSTITUTIONNELS ET POLITIQUES 1919-2018 T1;5
BOUSSOUMAH,Mohamed;5
l'office des publications universitaire;5
2019;5
ben aknoun;5
(vide);5
342/58BOU. T1;5
DOCUMENTS CONSTITUTIONNELS ET POLITIQUES 1919-2018 T2;5
BOUSSOUMAH,Mohamed;5
l'office des publications universitaire;5
2019;5
ben aknoun;5
(vide);5
342/58BOU. T2;5
DOCUMENTS CONSTITUTIONNELS ET POLITIQUES 1919-2018 T3;5
BOUSSOUMAH,Mohamed;5
l'office des publications universitaire;5
2019;5
ben aknoun;5
(vide);5
342/85BOU. T3;5
Droit administratif;1
Jaque petit;1
LGDJ Lextetenso;1
2019;1
France;1
(vide);1
342/54;1
Droit administratif .;3
Marie-Christine Rouault;1
Gualino éditeur;1
2007;1
Paris;1
04 Ed .;1
342/01;1
Yadh Ben Achour;2
Centre de publication universitaire;2
03 Ed .;2
Tunisie;2
2010;2
342/33;2
Droit administratif . : Les grandes décisions de la jurisprudence .;1
Jean-François Lachaume;1
PUF;1
1980;1
Paris;1
14 Ed.;1
342/45;1
Droit administratif . : Tout pour préparer vos TD et examens ! .;3
(vide);3
Dalloz;3
2012;3
Paris;3
(vide);3
342/52;3
Droit administratif 2 . L'action administrative.;3
Bertrand Seiller;3
Flammarion;3
2011;3
(vide);3
(vide);3
342/51;3
Droit administratif des biens.;2
Odile de David beauregard -Berthier;1
Gualino éditeur;1
2007;1
Paris;1
05 Ed.;1
342/19;1
Pascal Binczak;1
Gualino éditeur;1
2007;1
Paris;1
03 Ed .;1
342/50;1
Droit administratif général .;1
Robert Etien;1
Sup'FOUCHER;1
2007;1
Vanves;1
(vide);1
342/07;1
Droit admistratif Général:La responsabilité administrative;1
Sandra Thenot;1
ENRICK B;1
2019;1
Paris;1
(vide);1
342/57v2;1
Droit Bancaire .;2
Philippe Neau-Leduc;1
Dalloz;1
2007;1
Paris;1
03 Ed .;1
346.07/40;1
Thierry Bonneau;1
montchrestien;1
2003;1
Paris;1
(vide);1
346.07/56;1
Droit bancaire international .;8
Jean-Pierre Mattout;8
La Revue banque éditeur;8
2009;8
Paris;8
04 Ed .;8
346.07/14;8
Droit civil .;4
Brigitte Hess -Fallon;3
Dalloz;3
1999;3
Paris;3
05 Ed .;3
347/38;3
Michèle Muller;1
Sup'FOUCHER;1
2006;1
Vanves;1
(vide);1
347/36;1
Droit civil . : Les obligations .;4
François Terré;4
Dalloz;4
2009;4
Paris;4
10 Ed .;4
347/34fra;4
droit civil : les contrats speciaux;10
béatrice bourdelois;10
Dalloz;10
(vide);10
Paris;10
(vide);10
347/09;10
droit civil : les obligations;10
patrick canin;10
Hachette;10
2009;10
Paris;10
e.4;10
347/18;10
Droit civil : les obligations . : 2 année de licence ( système LMD) ou de DEUG de droit .;8
Sophie Druffin- Bricca;8
Gualino éditeur;8
2004;8
Paris;8
(vide);8
347/35;8
Droit civil : Les obligations.;2
Gérard Légier;2
Dalloz;2
2011;2
Paris;2
20 Ed .;2
347/52;2
droit civil : surités/publicité fonciiére;10
marie-noelle;10
Dalloz;10
2009;10
Paris;10
e.16;10
347/07;10
droit civil général .;1
Philippe Bihr;1
Dalloz;1
2004;1
Paris;1
15 ed.;1
347/68;1
Droit civil les personnes la famille les incapacités .;6
François Terré;6
Dalloz;6
2005;6
Paris;6
07 Ed.;6
347/32;6
Droit civil les suretés la publicité foncière .;2
Philippe Simler;2
Dalloz;2
2009;2
Paris;2
05 Ed.;2
347/66;2
Droit comercial .;1
Giron,patrice;1
éditions Foucher;1
2007;1
Vanves;1
.4ed;1
346.07/29;1
Droit commercial .;12
Georges Decocq;2
Dalloz;2
2003;2
Paris;2
(vide);2
346.07/59;2
patrick canin;10
Hachette;10
2010;10
Paris;10
04 Ed .;10
346.07/17;10
Droit commercial : Sociétés commerciales .;5
Philippe Merle;5
Dalloz;5
2011;5
Paris;5
15 ed .;5
346.07/13;5
Droit Commercial et des Affaires;10
Michel , MENJUCQ;10
Gualino éditeur;10
2009;10
Paris;10
6;10
346.07/01;10
Droit commercial et des affaires .;4
Dominique Legeais;4
Dalloz;4
2011;4
Paris;4
Ed 19;4
346.07/74;4
Droit commercial instruments de paiment et de crédit entreprises en difficulté.;4
Michel Jeantin;4
Dalloz;4
1999;4
Paris;4
05 Ed .;4
346.07/33;4
Droit comparé.;11
Yves-Marie Laithier;11
Dalloz;11
2009;11
Paris;11
2009;11
340/06;11
Droit constitutionnel .;20
Hugues Portellli;11
Dalloz;11
1999;11
Paris;11
03 Ed .;11
342/08;11
Olivier Gohin;9
Lexis Nexis;9
2010;9
Paris;9
(vide);9
342/03;9
Droit constitutionnel et institutions politiques .;6
jean paul jacqué;6
Dalloz;6
2003;6
Paris;6
05 Ed .;6
342/09;6
Droit d'auteur .;3
Michel Vivant;3
Dalloz;3
2009;3
Paris;3
(vide);3
346.07/60;3
Droit de la concurrence interne et européen .;2
Marie Malaurie-Vignal;2
Dalloz;2
2011;2
Paris;2
05 Ed;2
346.07/73;2
Droit de la construction . : Responsabilités et assurances .;2
Laurent Karila;2
LexisNexis;2
2011;2
Paris;2
02 Ed .;2
368/09;2
Droit de la construction contrats et responsabilités des constructeurs .;2
Faure abbad,marianne;2
Gualino éditeur;2
2007;2
Paris;2
(vide);2
346.07/24;2
Droit de la famille .;4
Brigitte Hess-Fallon;3
Dalloz;3
2011;3
Paris;3
08 Ed.;3
346/01;3
Patrice Hilt;1
Ellipses;1
2018;1
France;1
(vide);1
346/05;1
Droit de la fonction publique.;9
Essaid Taib;9
Editions Houma;9
2005;9
Alger;9
(vide);9
347/17;9
droit de la promotion immobilière;10
philippe malinvaud;10
Dalloz;10
2009;10
Paris;10
2ed.;10
346.07/08;10
droit de la propriété industrielle;10
joanna schmidt-szalewski;10
Dalloz;10
2009;10
Paris;10
(vide);10
346.07/09;10
Droit de la responsabilite disciplinaire des agents economiques . : L'exemple du secteur financier .;36
Rachid Zouaimia;36
O.P.U;36
2010;36
Alger.;36
(vide);36
346.07/69;36
Droit de la santé publique .;2
Didier Truchet;2
Dalloz;2
2009;2
Paris;2
07 Ed .;2
347/54;2
Droit de l'aménagement de l'urbanisme de l'abitat . : Textes jurisprudence doctrine et pratiques .;4
(vide);4
Editions Le Moniteur;4
2006;4
Paris;4
(vide);4
347/39;4
Droit de l'union européenne : Sources - Caractères - Contentieux;10
LECLERC , Stéphane;10
Gualino;10
2009;10
Paris;10
(vide);10
341/07;10
Droit des affaires .;4
Brigitte Hess-Fallon;2
Dalloz;2
2009;2
Paris;2
18 Ed .;2
346.07/72;2
Yves Guyon;2
Economica;2
2003;2
Paris;2
12Ed.;2
346.07/48v 1;2
Droit des affaires et droit commercial .;8
Nathalie Moraldo;8
Gualino éditeur;8
2001;8
Paris;8
(vide);8
346.07/19;8
Droit des affaires et droit commercial . : épreuves du DEUG de droit 2 année et licence .;7
Eva Mouial - Bassilana;7
Gualino éditeur;7
2003;7
Paris;7
(vide);7
346.07/36;7
Droit des affaires Tome 2 . : Entreprises en difficultés redressement judiciaire - Faillite .;1
Yves Guyon;1
Economica;1
2003;1
Paris;1
09 Ed .;1
346.07/48v2;1
Droit des affaires.;24
